"2020-05-05 00:02:58 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2020-05-05 00:02:58 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-05-05 00:02:58 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2020-05-05 00:02:58 [RMI TCP Connection(4)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2020-05-05 00:02:58 [RMI TCP Connection(4)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2020-05-05 11:40:15 [main] INFO  c.myproject.go.MyprojectApplication - Starting MyprojectApplication on DESKTOP-NGT4I8U with PID 7740 (F:\New folder\myproject\target\classes started by siva datta addanki in F:\New folder\myproject)
""2020-05-05 11:40:15 [main] DEBUG c.myproject.go.MyprojectApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
""2020-05-05 11:40:15 [main] INFO  c.myproject.go.MyprojectApplication - No active profile set, falling back to default profiles: default
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.myproject.go.repo.RegestrationRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 0 JDBC repository interfaces.
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2020-05-05 11:40:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39ms. Found 1 JPA repository interfaces.
""2020-05-05 11:40:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9191 (http)
""2020-05-05 11:40:16 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-05-05 11:40:16 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
""2020-05-05 11:40:16 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-05-05 11:40:16 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1594 ms
""2020-05-05 11:40:16 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2020-05-05 11:40:17 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.12.Final
""2020-05-05 11:40:17 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2020-05-05 11:40:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2020-05-05 11:40:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2020-05-05 11:40:17 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2020-05-05 11:40:20 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2020-05-05 11:40:20 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-05-05 11:40:21 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-05-05 11:40:21 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-05-05 11:40:21 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9191 (http) with context path ''
""2020-05-05 11:40:21 [main] INFO  c.myproject.go.MyprojectApplication - Started MyprojectApplication in 7.455 seconds (JVM running for 8.331)
""2020-05-05 12:02:28 [http-nio-9191-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-05-05 12:02:28 [http-nio-9191-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2020-05-05 12:02:28 [http-nio-9191-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 30 ms
""2020-05-05 12:02:28 [http-nio-9191-exec-2] INFO  c.m.go.repo.RegestrationDaoImp - daorepo
""2020-05-05 12:02:29 [http-nio-9191-exec-2] INFO  c.m.go.repo.RegestrationDaoImp - daorepo
""2020-05-05 12:02:58 [http-nio-9191-exec-3] INFO  c.m.go.repo.RegestrationDaoImp - daorepo
""2020-05-05 12:02:58 [http-nio-9191-exec-3] INFO  c.m.go.repo.RegestrationDaoImp - daorepo
""2020-05-05 12:04:01 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
